City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,zaozersk,69.4005,32.4476,1.82,95,100,10.27,RU,2023-04-19 02:33:12
170,cartagena,10.3997,-75.5144,26.79,78,20,6.69,CO,2023-04-19 02:39:36
171,kolpny,52.2282,37.0368,6.02,68,100,4.29,RU,2023-04-19 02:41:29
172,lugoff,34.2274,-80.6892,17.07,70,0,0.0,US,2023-04-19 02:38:49
173,san patricio,28.017,-97.5169,24.35,84,100,7.28,US,2023-04-19 02:36:56
174,praia da vitoria,38.7333,-27.0667,14.14,82,75,6.6,PT,2023-04-19 02:41:29
175,gizo,-8.103,156.8419,28.64,63,12,2.67,SB,2023-04-19 02:41:29
176,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,70,75,8.0,RU,2023-04-19 02:36:42
177,dedovichi,57.5517,29.9502,2.26,92,71,3.47,RU,2023-04-19 02:41:29
178,haiku-pauwela,20.9219,-156.3051,25.28,64,20,7.72,US,2023-04-19 02:36:53
179,lihue,21.9789,-159.3672,22.42,95,100,10.29,US,2023-04-19 02:34:57
180,akureyri,65.6835,-18.0878,7.36,79,56,4.89,IS,2023-04-19 02:36:57
181,uturoa,-16.7333,-151.4333,28.25,75,82,6.92,PF,2023-04-19 02:37:17
182,vorkuta,67.5,64.0,-13.59,100,99,2.91,RU,2023-04-19 02:36:56
183,talcahuano,-36.7167,-73.1167,11.82,94,75,1.03,CL,2023-04-19 02:41:29
184,pecos,31.4229,-103.4932,26.46,8,0,3.6,US,2023-04-19 02:41:29
185,bilibino,68.0546,166.4372,-1.84,83,100,1.22,RU,2023-04-19 02:36:48
186,mongo,12.1844,18.693,31.13,29,87,2.16,TD,2023-04-19 02:41:29
187,malvan,16.0667,73.4667,28.0,76,1,0.4,IN,2023-04-19 02:36:53
188,najran,17.4924,44.1277,20.36,50,3,2.04,SA,2023-04-19 02:41:29
189,odienne,9.51,-7.5692,26.23,57,96,1.11,CI,2023-04-19 02:41:30
190,dudinka,69.4058,86.1778,-19.1,90,22,1.44,RU,2023-04-19 02:37:27
191,alexandria,31.2156,29.9553,17.3,82,99,5.77,EG,2023-04-19 02:37:41
192,ceerigaabo,10.6162,47.368,15.95,70,60,1.52,SO,2023-04-19 02:41:30
193,rawson,-43.3002,-65.1023,13.21,64,92,7.19,AR,2023-04-19 02:37:03
194,vorgashor,67.5833,63.95,-13.67,99,98,2.9,RU,2023-04-19 02:36:46
195,avarua,-21.2078,-159.775,23.03,94,100,8.75,CK,2023-04-19 02:36:53
196,bodo,67.28,14.405,6.02,93,100,5.14,NO,2023-04-19 02:37:21
197,vilyuchinsk,52.9306,158.4028,4.15,97,90,2.62,RU,2023-04-19 02:36:52
198,torit,4.4133,32.5678,22.26,76,100,1.27,SS,2023-04-19 02:41:31
199,san luis de la loma,17.2706,-100.8939,26.14,76,32,2.49,MX,2023-04-19 02:37:25
200,khandyga,62.6667,135.6,-0.95,77,99,2.38,RU,2023-04-19 02:41:31
201,tolanaro,-25.0319,46.9987,23.04,94,75,3.09,MG,2023-04-19 02:36:55
202,tiksi,71.6872,128.8694,-13.76,92,100,2.68,RU,2023-04-19 02:36:55
203,shenjiamen,29.9576,122.298,15.66,98,100,3.35,CN,2023-04-19 02:37:21
204,lagos,6.5833,3.75,28.18,92,100,1.06,NG,2023-04-19 02:35:30
205,flying fish cove,-10.4217,105.6791,27.33,79,61,6.26,CX,2023-04-19 02:37:29
206,arno,60.1167,18.6333,2.66,96,5,3.18,SE,2023-04-19 02:41:31
207,pahrump,36.2083,-115.9839,19.03,18,99,6.71,US,2023-04-19 02:35:11
208,orzysz,53.8097,21.9481,4.91,95,100,7.38,PL,2023-04-19 02:41:31
209,mahriz,31.5917,54.4318,13.28,27,7,0.78,IR,2023-04-19 02:37:11
210,hajjah,15.6943,43.6058,19.78,61,15,0.55,YE,2023-04-19 02:41:31
211,nar'yan-mar,67.6713,53.087,-8.02,99,99,3.5,RU,2023-04-19 02:36:59
212,betio village,1.358,172.9211,31.02,76,23,4.53,KI,2023-04-19 02:41:31
213,tralee,52.2704,-9.7026,5.73,88,2,3.21,IE,2023-04-19 02:37:13
214,tazovsky,67.4667,78.7,-11.41,94,100,4.06,RU,2023-04-19 02:36:48
215,ballesteros,18.4126,121.5152,30.31,65,0,1.5,PH,2023-04-19 02:41:31
216,zhezqazghan,47.7833,67.7667,1.32,51,0,1.0,KZ,2023-04-19 02:41:15
217,chonchi,-42.6128,-73.8092,12.29,99,100,1.0,CL,2023-04-19 02:37:14
218,fort mcmurray,56.7268,-111.381,3.77,75,100,2.06,CA,2023-04-19 02:41:32
219,kuybyshev,55.4475,78.3218,-4.98,49,33,5.17,RU,2023-04-19 02:41:32
220,morehead city,34.7229,-76.726,19.45,79,0,5.81,US,2023-04-19 02:37:20
221,sibiti,-3.6819,13.3499,20.73,98,99,1.11,CG,2023-04-19 02:41:32
222,kadnikov,59.5022,40.338,2.36,88,75,2.92,RU,2023-04-19 02:41:32
223,tenno,39.9,139.9667,13.56,75,23,6.23,JP,2023-04-19 02:41:32
224,merizo village,13.2658,144.6691,30.32,75,70,10.14,GU,2023-04-19 02:41:32
225,la'ie,21.6477,-157.9253,25.56,75,100,4.16,US,2023-04-19 02:41:32
226,nkove,-7.95,30.85,21.23,81,88,1.59,TZ,2023-04-19 02:41:32
227,port hedland,-20.3167,118.5667,30.03,21,22,9.77,AU,2023-04-19 02:41:32
228,vlore,40.4667,19.4897,13.86,73,10,1.0,AL,2023-04-19 02:41:32
229,mount gambier,-37.8333,140.7667,15.65,52,63,4.55,AU,2023-04-19 02:37:13
230,hammerfest,70.6634,23.6821,5.25,100,100,10.8,NO,2023-04-19 02:41:32
231,ocean city,39.2776,-74.5746,11.14,52,0,4.47,US,2023-04-19 02:41:32
232,novoarkhanhel's'k,48.658,30.8182,7.21,88,43,3.05,UA,2023-04-19 02:41:32
233,nadi,-17.8,177.4167,30.0,74,40,6.17,FJ,2023-04-19 02:35:44
234,maieru,47.4,24.75,6.04,96,100,0.73,RO,2023-04-19 02:41:33
235,les anglais,18.3054,-74.2197,24.32,85,21,2.29,HT,2023-04-19 02:41:33
236,la passe,45.5549,-0.8967,8.13,88,4,3.42,FR,2023-04-19 02:36:46
237,inongo,-1.95,18.2667,22.77,92,99,2.42,CD,2023-04-19 02:41:33
238,vadso,70.0744,29.7487,3.49,87,75,2.06,NO,2023-04-19 02:37:19
239,port lincoln,-34.7333,135.8667,16.56,50,70,5.0,AU,2023-04-19 02:32:33
240,rimavska sobota,48.3828,20.0224,8.61,77,90,2.11,SK,2023-04-19 02:41:33
241,shahrud,36.4182,54.9763,12.16,41,1,1.0,IR,2023-04-19 02:41:33
242,papao,-17.75,-149.55,30.37,77,74,5.67,PF,2023-04-19 02:41:33
243,turpan,42.9333,89.1667,15.83,14,100,0.6,CN,2023-04-19 02:41:33
244,oral,51.2333,51.3667,1.99,80,0,2.0,KZ,2023-04-19 02:41:33
245,sena madureira,-9.0656,-68.6569,23.48,91,100,1.27,BR,2023-04-19 02:41:34
246,kristiansund,63.1115,7.732,5.36,75,55,2.06,NO,2023-04-19 02:36:45
247,novaya igirma,57.1334,103.9112,-3.3,42,32,3.97,RU,2023-04-19 02:37:25
248,sarichioi,44.95,28.85,10.12,81,75,6.69,RO,2023-04-19 02:41:34
249,palikir - national government center,6.9248,158.1611,28.47,74,100,5.14,FM,2023-04-19 02:37:25
250,constitucion,-35.3333,-72.4167,11.86,68,17,3.65,CL,2023-04-19 02:40:56
251,turkestan,43.3333,68.25,8.48,36,0,4.82,KZ,2023-04-19 02:41:34
252,mar del plata,-38.0023,-57.5575,12.27,87,75,5.66,AR,2023-04-19 02:41:13
253,mana,5.6592,-53.7767,24.42,88,93,1.49,GF,2023-04-19 02:41:34
254,nabire,-3.3667,135.4833,30.63,62,57,2.41,ID,2023-04-19 02:41:34
255,las vegas,36.175,-115.1372,22.69,12,75,11.83,US,2023-04-19 02:39:42
256,lorengau,-2.0226,147.2712,29.86,69,100,4.6,PG,2023-04-19 02:37:00
257,fortuna,40.5982,-124.1573,8.29,82,100,0.45,US,2023-04-19 02:36:45
258,komsomol'skiy,43.9783,46.6985,9.7,68,100,8.54,RU,2023-04-19 02:41:35
259,rabo de peixe,37.8,-25.5833,12.73,71,20,1.54,PT,2023-04-19 02:41:35
260,chibougamau,49.9168,-74.3659,-0.21,93,20,2.06,CA,2023-04-19 02:40:30
261,rice lake,45.5061,-91.7382,6.92,52,0,4.12,US,2023-04-19 02:41:21
262,san antonio de pale,-1.4014,5.6325,28.33,78,82,4.93,GQ,2023-04-19 02:37:02
263,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.0,GF,2023-04-19 02:37:18
264,tot'ma,59.9747,42.7642,1.28,91,100,2.9,RU,2023-04-19 02:41:35
265,carnarvon,-24.8667,113.6333,28.28,30,17,7.1,AU,2023-04-19 02:36:52
266,tura,25.5198,90.2201,31.9,47,0,3.8,IN,2023-04-19 02:36:51
267,pauini,-7.7136,-66.9764,25.79,80,100,0.99,BR,2023-04-19 02:41:36
268,saipan,15.1355,145.701,31.39,100,40,8.75,MP,2023-04-19 02:36:58
269,mont-tremblant,46.1949,-74.6264,4.77,93,100,0.51,CA,2023-04-19 02:38:45
270,qalat,32.1058,66.9083,12.06,49,1,3.26,AF,2023-04-19 02:41:36
271,kodiak,57.79,-152.4072,5.73,39,0,3.6,US,2023-04-19 02:36:54
272,metropolis,37.1512,-88.732,21.1,36,0,1.54,US,2023-04-19 02:41:36
273,huaicheng,23.9051,112.1931,23.05,96,100,1.55,CN,2023-04-19 02:41:36
274,tamanrasset,22.785,5.5228,21.95,9,0,7.2,DZ,2023-04-19 02:41:36
275,belyy yar,53.6039,91.3903,-6.06,53,0,2.0,RU,2023-04-19 02:37:33
276,gulf shores,30.246,-87.7008,18.89,72,0,0.0,US,2023-04-19 02:41:36
277,mata-utu,-13.2816,-176.1745,28.69,72,98,5.73,WF,2023-04-19 02:41:36
278,wichita,37.6922,-97.3375,22.45,64,75,11.83,US,2023-04-19 02:41:36
279,sztum,53.9208,19.0307,5.19,93,82,4.8,PL,2023-04-19 02:41:37
280,valday,57.9747,33.2525,2.81,90,36,2.81,RU,2023-04-19 02:41:37
281,uray,60.1247,64.7758,-2.03,60,22,1.81,RU,2023-04-19 02:41:37
282,luwuk,-0.9516,122.7875,28.62,81,78,1.14,ID,2023-04-19 02:37:28
283,nongstoin,25.5167,91.2667,29.07,26,0,1.62,IN,2023-04-19 02:41:37
284,cidreira,-30.1811,-50.2056,16.77,63,18,5.16,BR,2023-04-19 02:37:04
285,phan thiet,10.9333,108.1,31.13,54,7,3.2,VN,2023-04-19 02:41:37
286,sanctuary point,-35.1114,150.629,26.29,47,27,4.05,AU,2023-04-19 02:41:37
287,dadukou,26.5479,101.7054,29.12,31,0,0.6,CN,2023-04-19 02:41:37
288,nguigmi,14.2495,13.1092,29.22,16,4,4.62,NE,2023-04-19 02:41:37
289,inari,68.906,27.0288,3.11,93,100,4.79,FI,2023-04-19 02:41:37
290,vila franca do campo,37.7167,-25.4333,13.23,78,27,2.22,PT,2023-04-19 02:36:45
291,revda,56.801,59.9303,-0.13,51,11,3.64,RU,2023-04-19 02:41:23
292,szabadszallas,46.8758,19.2232,12.1,74,95,3.15,HU,2023-04-19 02:41:37
293,san julian,21.0167,-102.1667,19.53,19,7,3.43,MX,2023-04-19 02:41:38
294,yarmouth,41.7057,-70.2286,12.03,61,0,7.2,US,2023-04-19 02:41:38
295,westport,41.1415,-73.3579,9.3,54,20,3.6,US,2023-04-19 02:33:46
296,noosa heads,-26.3833,153.15,23.39,63,82,5.44,AU,2023-04-19 02:41:38
297,coahuayana de hidalgo,18.7,-103.6583,22.43,80,33,0.32,MX,2023-04-19 02:41:38
298,manthani,18.65,79.6667,36.19,21,0,1.59,IN,2023-04-19 02:41:38
299,warmbad,-28.45,18.7333,22.17,29,29,3.25,NA,2023-04-19 02:41:38
